[2023-12-21 15:35:03,225][INFO] 
===== FNN_big-0.1-1000-small-2023-12-21-15-35-03 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982f70>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a982dc0>
[2023-12-21 15:42:00,524][INFO] correct3 0
[2023-12-21 15:42:04,008][INFO] correct1 5
[2023-12-21 15:42:05,758][INFO] correct2 29
[2023-12-21 15:42:06,772][INFO] correct3 0
[2023-12-21 15:42:10,224][INFO] correct1 1
[2023-12-21 15:42:11,163][INFO] correct2 31
[2023-12-21 15:42:11,418][INFO] correct3 0
[2023-12-21 15:42:14,886][INFO] correct1 3
[2023-12-21 15:42:15,836][INFO] correct2 30
[2023-12-21 15:42:16,112][INFO] correct3 0
[2023-12-21 15:42:19,599][INFO] correct1 1
[2023-12-21 15:42:21,716][INFO] correct2 31
[2023-12-21 15:42:23,134][INFO] correct3 0
[2023-12-21 15:42:26,889][INFO] correct1 4
[2023-12-21 15:42:30,972][INFO] correct2 30
[2023-12-21 15:42:34,237][INFO] correct3 1
[2023-12-21 15:42:37,789][INFO] correct1 2
[2023-12-21 15:42:41,861][INFO] correct2 28
[2023-12-21 15:42:45,272][INFO] correct3 1
[2023-12-21 15:42:48,812][INFO] correct1 5
[2023-12-21 15:42:52,973][INFO] correct2 31
[2023-12-21 15:42:56,357][INFO] correct3 1
[2023-12-21 15:42:59,684][INFO] correct1 1
[2023-12-21 15:43:01,185][INFO] correct2 31
[2023-12-21 15:43:01,455][INFO] correct3 0
[2023-12-21 15:43:05,767][INFO] correct1 1
[2023-12-21 15:43:07,442][INFO] correct2 32
[2023-12-21 15:43:08,281][INFO] correct3 0
[2023-12-21 15:43:12,659][INFO] correct1 3
[2023-12-21 15:43:17,100][INFO] correct2 32
[2023-12-21 15:43:20,393][INFO] correct3 1
[2023-12-21 15:43:22,737][INFO] correct1 0
[2023-12-21 15:43:23,644][INFO] correct2 31
[2023-12-21 15:43:23,896][INFO] correct3 0
[2023-12-21 15:43:27,090][INFO] correct1 1
[2023-12-21 15:43:31,187][INFO] correct2 32
[2023-12-21 15:43:34,655][INFO] correct3 1
[2023-12-21 15:43:38,141][INFO] correct1 4
[2023-12-21 15:43:42,440][INFO] correct2 32
[2023-12-21 15:43:45,976][INFO] correct3 1
[2023-12-21 15:43:49,392][INFO] correct1 1
[2023-12-21 15:43:53,491][INFO] correct2 29
[2023-12-21 15:43:56,772][INFO] correct3 1
[2023-12-21 15:44:00,165][INFO] correct1 3
[2023-12-21 15:44:01,473][INFO] correct2 31
[2023-12-21 15:44:02,102][INFO] correct3 0
[2023-12-21 15:44:05,551][INFO] correct1 5
[2023-12-21 15:44:06,468][INFO] correct2 30
[2023-12-21 15:44:07,078][INFO] correct3 0
[2023-12-21 15:44:10,519][INFO] correct1 3
[2023-12-21 15:44:11,801][INFO] correct2 31
[2023-12-21 15:44:12,400][INFO] correct3 0
[2023-12-21 15:44:15,784][INFO] correct1 4
[2023-12-21 15:44:17,099][INFO] correct2 31
[2023-12-21 15:44:17,745][INFO] correct3 0
[2023-12-21 15:44:21,257][INFO] correct1 6
[2023-12-21 15:44:23,618][INFO] correct2 32
[2023-12-21 15:44:25,370][INFO] correct3 0
[2023-12-21 15:44:28,917][INFO] correct1 1
[2023-12-21 15:44:32,975][INFO] correct2 32
[2023-12-21 15:44:36,402][INFO] correct3 1
[2023-12-21 15:44:39,888][INFO] correct1 3
[2023-12-21 15:44:41,707][INFO] correct2 30
[2023-12-21 15:44:42,762][INFO] correct3 0
[2023-12-21 15:44:46,436][INFO] correct1 2
[2023-12-21 15:44:48,069][INFO] correct2 29
[2023-12-21 15:44:49,023][INFO] correct3 0
[2023-12-21 15:44:52,448][INFO] correct1 5
[2023-12-21 15:44:53,349][INFO] correct2 32
[2023-12-21 15:44:53,594][INFO] correct3 0
[2023-12-21 15:44:56,852][INFO] correct1 1
[2023-12-21 15:44:58,536][INFO] correct2 32
[2023-12-21 15:44:59,621][INFO] correct3 0
[2023-12-21 15:45:02,954][INFO] correct1 1
[2023-12-21 15:45:04,215][INFO] correct2 31
[2023-12-21 15:45:04,841][INFO] correct3 0
[2023-12-21 15:45:08,263][INFO] correct1 2
[2023-12-21 15:45:09,560][INFO] correct2 32
[2023-12-21 15:45:10,187][INFO] correct3 0
[2023-12-21 15:45:13,764][INFO] correct1 2
[2023-12-21 15:45:17,731][INFO] correct2 32
[2023-12-21 15:45:21,063][INFO] correct3 1
[2023-12-21 15:45:24,561][INFO] correct1 5
[2023-12-21 15:45:28,733][INFO] correct2 32
[2023-12-21 15:45:32,223][INFO] correct3 1
[2023-12-21 15:45:34,004][INFO] correct1 0
[2023-12-21 15:45:35,316][INFO] correct2 31
[2023-12-21 15:45:35,567][INFO] correct3 0
[2023-12-21 15:45:38,831][INFO] correct1 1
[2023-12-21 15:45:39,720][INFO] correct2 32
[2023-12-21 15:45:39,979][INFO] correct3 0
[2023-12-21 15:45:43,561][INFO] correct1 1
[2023-12-21 15:45:45,548][INFO] correct2 28
[2023-12-21 15:45:46,858][INFO] correct3 0
[2023-12-21 15:45:50,232][INFO] correct1 3
[2023-12-21 15:45:51,482][INFO] correct2 29
[2023-12-21 15:45:52,084][INFO] correct3 0
[2023-12-21 15:45:55,455][INFO] correct1 1
[2023-12-21 15:45:56,467][INFO] correct2 31
[2023-12-21 15:45:56,742][INFO] correct3 0
[2023-12-21 15:46:00,527][INFO] correct1 4
[2023-12-21 15:46:04,915][INFO] correct2 30
[2023-12-21 15:46:08,742][INFO] correct3 1
[2023-12-21 15:46:12,315][INFO] correct1 3
[2023-12-21 15:46:14,362][INFO] correct2 31
[2023-12-21 15:46:15,780][INFO] correct3 0
[2023-12-21 15:46:19,792][INFO] correct1 4
[2023-12-21 15:46:21,149][INFO] correct2 31
[2023-12-21 15:46:21,424][INFO] correct3 0
[2023-12-21 15:46:25,100][INFO] correct1 3
[2023-12-21 15:46:29,064][INFO] correct2 31
[2023-12-21 15:46:32,318][INFO] correct3 1
[2023-12-21 15:46:35,701][INFO] correct1 4
[2023-12-21 15:46:39,655][INFO] correct2 32
[2023-12-21 15:46:43,109][INFO] correct3 1
[2023-12-21 15:46:46,484][INFO] correct1 7
[2023-12-21 15:46:50,460][INFO] correct2 31
[2023-12-21 15:46:53,646][INFO] correct3 1
[2023-12-21 15:46:57,189][INFO] correct1 8
[2023-12-21 15:47:01,610][INFO] correct2 30
[2023-12-21 15:47:05,108][INFO] correct3 1
[2023-12-21 15:47:08,723][INFO] correct1 4
[2023-12-21 15:47:09,644][INFO] correct2 32
[2023-12-21 15:47:09,910][INFO] correct3 0
[2023-12-21 15:47:13,544][INFO] correct1 2
[2023-12-21 15:47:14,488][INFO] correct2 31
[2023-12-21 15:47:14,733][INFO] correct3 0
[2023-12-21 15:47:18,132][INFO] correct1 3
[2023-12-21 15:47:22,038][INFO] correct2 32
[2023-12-21 15:47:25,230][INFO] correct3 1
[2023-12-21 15:47:28,688][INFO] correct1 4
[2023-12-21 15:47:31,363][INFO] correct2 30
[2023-12-21 15:47:33,354][INFO] correct3 0
[2023-12-21 15:47:36,820][INFO] correct1 4
[2023-12-21 15:47:38,558][INFO] correct2 31
[2023-12-21 15:47:39,565][INFO] correct3 0
[2023-12-21 15:47:43,051][INFO] correct1 2
[2023-12-21 15:47:44,470][INFO] correct2 30
[2023-12-21 15:47:45,099][INFO] correct3 0
[2023-12-21 15:47:48,494][INFO] correct1 3
[2023-12-21 15:47:49,836][INFO] correct2 32
[2023-12-21 15:47:50,452][INFO] correct3 0
[2023-12-21 15:47:53,954][INFO] correct1 2
[2023-12-21 15:47:55,327][INFO] correct2 31
[2023-12-21 15:47:55,975][INFO] correct3 0
[2023-12-21 15:47:59,275][INFO] correct1 3
[2023-12-21 15:48:00,913][INFO] correct2 31
[2023-12-21 15:48:01,938][INFO] correct3 0
[2023-12-21 15:48:05,162][INFO] correct1 1
[2023-12-21 15:48:09,142][INFO] correct2 29
[2023-12-21 15:48:12,456][INFO] correct3 1
[2023-12-21 15:48:15,858][INFO] correct1 4
[2023-12-21 15:48:17,486][INFO] correct2 28
[2023-12-21 15:48:18,468][INFO] correct3 0
[2023-12-21 15:48:21,933][INFO] correct1 7
[2023-12-21 15:48:26,130][INFO] correct2 32
[2023-12-21 15:48:29,717][INFO] correct3 1
[2023-12-21 15:48:33,155][INFO] correct1 3
[2023-12-21 15:48:35,100][INFO] correct2 30
[2023-12-21 15:48:36,391][INFO] correct3 0
[2023-12-21 15:48:39,751][INFO] correct1 4
[2023-12-21 15:48:41,512][INFO] correct2 32
[2023-12-21 15:48:42,520][INFO] correct3 0
[2023-12-21 15:48:44,183][INFO] correct1 0
[2023-12-21 15:48:45,558][INFO] correct2 31
[2023-12-21 15:48:45,806][INFO] correct3 0
[2023-12-21 15:48:49,420][INFO] correct1 5
[2023-12-21 15:48:53,720][INFO] correct2 31
[2023-12-21 15:48:57,174][INFO] correct3 1
[2023-12-21 15:49:00,535][INFO] correct1 3
[2023-12-21 15:49:01,590][INFO] correct2 31
[2023-12-21 15:49:02,963][INFO] correct3 0
[2023-12-21 15:49:06,434][INFO] correct1 4
[2023-12-21 15:49:10,534][INFO] correct2 30
[2023-12-21 15:49:13,925][INFO] correct3 1
[2023-12-21 15:49:17,460][INFO] correct1 5
[2023-12-21 15:49:19,284][INFO] correct2 30
[2023-12-21 15:49:20,336][INFO] correct3 0
[2023-12-21 15:49:24,275][INFO] correct1 5
[2023-12-21 15:49:26,788][INFO] correct2 31
[2023-12-21 15:49:28,418][INFO] correct3 0
[2023-12-21 15:49:32,446][INFO] correct1 7
[2023-12-21 15:49:34,835][INFO] correct2 31
[2023-12-21 15:49:36,673][INFO] correct3 0
[2023-12-21 15:49:41,141][INFO] correct1 5
[2023-12-21 15:49:44,067][INFO] correct2 31
[2023-12-21 15:49:46,626][INFO] correct3 0
[2023-12-21 15:49:50,843][INFO] correct1 3
[2023-12-21 15:49:51,998][INFO] correct2 29
[2023-12-21 15:49:52,228][INFO] correct3 0
[2023-12-21 15:49:55,926][INFO] correct1 3
[2023-12-21 15:49:56,844][INFO] correct2 31
[2023-12-21 15:49:57,093][INFO] correct3 0
[2023-12-21 15:50:00,578][INFO] correct1 4
[2023-12-21 15:50:02,261][INFO] correct2 31
[2023-12-21 15:50:03,196][INFO] correct3 0
[2023-12-21 15:50:06,547][INFO] correct1 4
[2023-12-21 15:50:07,895][INFO] correct2 31
[2023-12-21 15:50:08,154][INFO] correct3 0
[2023-12-21 15:50:11,598][INFO] correct1 6
[2023-12-21 15:50:13,218][INFO] correct2 31
[2023-12-21 15:50:14,208][INFO] correct3 0
[2023-12-21 15:50:17,738][INFO] correct1 2
[2023-12-21 15:50:19,440][INFO] correct2 32
[2023-12-21 15:50:20,069][INFO] correct3 0
[2023-12-21 15:50:23,555][INFO] correct1 6
[2023-12-21 15:50:27,563][INFO] correct2 30
[2023-12-21 15:50:30,871][INFO] correct3 1
[2023-12-21 15:50:34,224][INFO] correct1 2
[2023-12-21 15:50:38,145][INFO] correct2 31
[2023-12-21 15:50:41,483][INFO] correct3 1
[2023-12-21 15:50:44,950][INFO] correct1 1
[2023-12-21 15:50:46,685][INFO] correct2 29
[2023-12-21 15:50:47,707][INFO] correct3 0
[2023-12-21 15:50:51,164][INFO] correct1 3
[2023-12-21 15:50:52,829][INFO] correct2 30
[2023-12-21 15:50:53,452][INFO] correct3 0
[2023-12-21 15:50:57,032][INFO] correct1 3
[2023-12-21 15:50:57,948][INFO] correct2 32
[2023-12-21 15:50:58,206][INFO] correct3 0
[2023-12-21 15:50:59,238][INFO] correct1 0
[2023-12-21 15:51:00,192][INFO] correct2 29
[2023-12-21 15:51:00,449][INFO] correct3 0
[2023-12-21 15:51:03,996][INFO] correct1 6
[2023-12-21 15:51:07,857][INFO] correct2 32
[2023-12-21 15:51:11,146][INFO] correct3 1
[2023-12-21 15:51:14,629][INFO] correct1 2
[2023-12-21 15:51:18,781][INFO] correct2 31
[2023-12-21 15:51:22,093][INFO] correct3 1
[2023-12-21 15:51:25,491][INFO] correct1 2
[2023-12-21 15:51:28,759][INFO] correct2 32
[2023-12-21 15:51:31,281][INFO] correct3 0
[2023-12-21 15:51:34,697][INFO] correct1 3
[2023-12-21 15:51:35,752][INFO] correct2 29
[2023-12-21 15:51:35,998][INFO] correct3 0
[2023-12-21 15:51:39,614][INFO] correct1 1
[2023-12-21 15:51:41,325][INFO] correct2 31
[2023-12-21 15:51:42,301][INFO] correct3 0
[2023-12-21 15:51:45,797][INFO] correct1 3
[2023-12-21 15:51:49,840][INFO] correct2 32
[2023-12-21 15:51:53,263][INFO] correct3 1
[2023-12-21 15:51:56,754][INFO] correct1 7
[2023-12-21 15:51:59,321][INFO] correct2 31
[2023-12-21 15:52:01,124][INFO] correct3 0
[2023-12-21 15:52:04,577][INFO] correct1 1
[2023-12-21 15:52:05,580][INFO] correct2 32
[2023-12-21 15:52:05,851][INFO] correct3 0
[2023-12-21 15:52:09,314][INFO] correct1 1
[2023-12-21 15:52:10,995][INFO] correct2 32
[2023-12-21 15:52:11,980][INFO] correct3 0
[2023-12-21 15:52:15,572][INFO] correct1 5
[2023-12-21 15:52:17,608][INFO] correct2 31
[2023-12-21 15:52:18,960][INFO] correct3 0
[2023-12-21 15:52:22,262][INFO] correct1 2
[2023-12-21 15:52:24,017][INFO] correct2 31
[2023-12-21 15:52:25,039][INFO] correct3 0
[2023-12-21 15:52:28,322][INFO] correct1 1
[2023-12-21 15:52:29,617][INFO] correct2 32
[2023-12-21 15:52:30,241][INFO] correct3 0
[2023-12-21 15:52:33,599][INFO] correct1 2
[2023-12-21 15:52:35,286][INFO] correct2 30
[2023-12-21 15:52:36,373][INFO] correct3 0
[2023-12-21 15:52:39,791][INFO] correct1 1
[2023-12-21 15:52:41,132][INFO] correct2 31
[2023-12-21 15:52:41,781][INFO] correct3 0
[2023-12-21 15:52:45,258][INFO] correct1 4
[2023-12-21 15:52:46,870][INFO] correct2 32
[2023-12-21 15:52:47,825][INFO] correct3 0
[2023-12-21 15:52:51,268][INFO] correct1 3
[2023-12-21 15:52:52,608][INFO] correct2 27
[2023-12-21 15:52:53,304][INFO] correct3 0
[2023-12-21 15:52:57,314][INFO] correct1 1
[2023-12-21 15:52:58,250][INFO] correct2 29
[2023-12-21 15:52:58,503][INFO] correct3 0
[2023-12-21 15:53:01,930][INFO] correct1 4
[2023-12-21 15:53:04,029][INFO] correct2 28
[2023-12-21 15:53:05,014][INFO] correct3 0
[2023-12-21 15:53:08,502][INFO] correct1 3
[2023-12-21 15:53:09,439][INFO] correct2 32
[2023-12-21 15:53:09,704][INFO] correct3 0
[2023-12-21 15:53:13,408][INFO] correct1 2
[2023-12-21 15:53:16,254][INFO] correct2 32
[2023-12-21 15:53:18,339][INFO] correct3 0
[2023-12-21 15:53:21,914][INFO] correct1 5
[2023-12-21 15:53:22,826][INFO] correct2 30
[2023-12-21 15:53:23,079][INFO] correct3 0
[2023-12-21 15:53:26,717][INFO] correct1 5
[2023-12-21 15:53:30,704][INFO] correct2 32
[2023-12-21 15:53:33,969][INFO] correct3 1
[2023-12-21 15:53:37,461][INFO] correct1 8
[2023-12-21 15:53:41,440][INFO] correct2 31
[2023-12-21 15:53:44,994][INFO] correct3 1
[2023-12-21 15:53:48,441][INFO] correct1 8
[2023-12-21 15:53:52,524][INFO] correct2 32
[2023-12-21 15:53:56,274][INFO] correct3 3
[2023-12-21 15:53:59,715][INFO] correct1 6
[2023-12-21 15:54:03,768][INFO] correct2 32
[2023-12-21 15:54:07,326][INFO] correct3 1
[2023-12-21 15:54:10,909][INFO] correct1 8
[2023-12-21 15:54:15,042][INFO] correct2 31
[2023-12-21 15:54:18,429][INFO] correct3 2
[2023-12-21 15:54:21,934][INFO] correct1 2
[2023-12-21 15:54:24,063][INFO] correct2 30
[2023-12-21 15:54:25,487][INFO] correct3 0
[2023-12-21 15:54:28,924][INFO] correct1 2
[2023-12-21 15:54:30,345][INFO] correct2 31
[2023-12-21 15:54:30,979][INFO] correct3 0
[2023-12-21 15:54:34,294][INFO] correct1 3
[2023-12-21 15:54:35,595][INFO] correct2 32
[2023-12-21 15:54:36,206][INFO] correct3 0
[2023-12-21 15:54:39,551][INFO] correct1 2
[2023-12-21 15:54:41,666][INFO] correct2 32
[2023-12-21 15:54:43,025][INFO] correct3 0
[2023-12-21 15:54:46,489][INFO] correct1 10
[2023-12-21 15:54:50,636][INFO] correct2 32
[2023-12-21 15:54:52,741][INFO] correct3 0
[2023-12-21 15:54:56,101][INFO] correct1 5
[2023-12-21 15:54:59,430][INFO] correct2 31
[2023-12-21 15:55:02,011][INFO] correct3 0
[2023-12-21 15:55:05,484][INFO] correct1 10
[2023-12-21 15:55:07,525][INFO] correct2 32
[2023-12-21 15:55:08,907][INFO] correct3 0
[2023-12-21 15:55:12,356][INFO] correct1 6
[2023-12-21 15:55:16,290][INFO] correct2 32
[2023-12-21 15:55:19,571][INFO] correct3 1
[2023-12-21 15:55:22,937][INFO] correct1 6
[2023-12-21 15:55:25,299][INFO] correct2 32
[2023-12-21 15:55:27,003][INFO] correct3 0
[2023-12-21 15:55:30,375][INFO] correct1 5
[2023-12-21 15:55:32,441][INFO] correct2 31
[2023-12-21 15:55:33,830][INFO] correct3 0
[2023-12-21 15:55:37,377][INFO] correct1 8
[2023-12-21 15:55:39,876][INFO] correct2 32
[2023-12-21 15:55:41,648][INFO] correct3 0
[2023-12-21 15:55:45,225][INFO] correct1 4
[2023-12-21 15:55:47,623][INFO] correct2 31
[2023-12-21 15:55:49,362][INFO] correct3 0
[2023-12-21 15:55:52,886][INFO] correct1 4
[2023-12-21 15:55:54,927][INFO] correct2 32
[2023-12-21 15:55:56,280][INFO] correct3 0
[2023-12-21 15:55:59,879][INFO] correct1 9
[2023-12-21 15:56:03,985][INFO] correct2 32
[2023-12-21 15:56:08,201][INFO] correct3 1
[2023-12-21 15:56:12,751][INFO] correct1 1
[2023-12-21 15:56:17,487][INFO] correct2 32
[2023-12-21 15:56:20,925][INFO] correct3 1
[2023-12-21 15:56:24,651][INFO] correct1 2
[2023-12-21 15:56:26,715][INFO] correct2 30
[2023-12-21 15:56:28,085][INFO] correct3 0
[2023-12-21 15:56:31,625][INFO] correct1 8
[2023-12-21 15:56:35,967][INFO] correct2 31
[2023-12-21 15:56:39,385][INFO] correct3 1
[2023-12-21 15:56:42,684][INFO] correct1 1
[2023-12-21 15:56:43,589][INFO] correct2 32
[2023-12-21 15:56:43,842][INFO] correct3 0
[2023-12-21 15:56:47,300][INFO] correct1 4
[2023-12-21 15:56:51,708][INFO] correct2 29
[2023-12-21 15:56:55,086][INFO] correct3 1
[2023-12-21 15:56:58,719][INFO] correct1 4
[2023-12-21 15:57:02,807][INFO] correct2 32
[2023-12-21 15:57:06,224][INFO] correct3 1
[2023-12-21 15:57:09,627][INFO] correct1 4
[2023-12-21 15:57:10,543][INFO] correct2 32
[2023-12-21 15:57:10,815][INFO] correct3 0
[2023-12-21 15:57:14,403][INFO] correct1 3
[2023-12-21 15:57:16,514][INFO] correct2 31
[2023-12-21 15:57:18,026][INFO] correct3 0
[2023-12-21 15:57:21,827][INFO] correct1 6
[2023-12-21 15:57:22,731][INFO] correct2 32
[2023-12-21 15:57:22,982][INFO] correct3 0
[2023-12-21 15:57:26,675][INFO] correct1 2
[2023-12-21 15:57:27,591][INFO] correct2 31
[2023-12-21 15:57:27,851][INFO] correct3 0
[2023-12-21 15:57:31,422][INFO] correct1 6
[2023-12-21 15:57:32,351][INFO] correct2 30
[2023-12-21 15:57:32,598][INFO] correct3 0
[2023-12-21 15:57:35,826][INFO] correct1 1
[2023-12-21 15:57:38,255][INFO] correct2 30
[2023-12-21 15:57:39,950][INFO] correct3 0
[2023-12-21 15:57:43,304][INFO] correct1 3
[2023-12-21 15:57:45,661][INFO] correct2 31
[2023-12-21 15:57:47,335][INFO] correct3 0
[2023-12-21 15:57:50,742][INFO] correct1 2
[2023-12-21 15:57:52,581][INFO] correct2 30
[2023-12-21 15:57:53,597][INFO] correct3 0
[2023-12-21 15:57:57,040][INFO] correct1 11
[2023-12-21 15:58:01,201][INFO] correct2 31
[2023-12-21 15:58:04,663][INFO] correct3 1
[2023-12-21 15:58:08,220][INFO] correct1 12
[2023-12-21 15:58:12,443][INFO] correct2 32
[2023-12-21 15:58:16,030][INFO] correct3 3
[2023-12-21 15:58:19,440][INFO] correct1 18
[2023-12-21 15:58:23,633][INFO] correct2 32
[2023-12-21 15:58:27,135][INFO] correct3 4
[2023-12-21 15:58:30,603][INFO] correct1 8
[2023-12-21 15:58:34,649][INFO] correct2 31
[2023-12-21 15:58:37,961][INFO] correct3 1
[2023-12-21 15:58:41,397][INFO] correct1 10
[2023-12-21 15:58:44,520][INFO] correct2 32
[2023-12-21 15:58:47,023][INFO] correct3 0
[2023-12-21 15:58:50,590][INFO] correct1 5
[2023-12-21 15:58:54,663][INFO] correct2 32
[2023-12-21 15:58:58,000][INFO] correct3 1
[2023-12-21 15:59:01,547][INFO] correct1 5
[2023-12-21 15:59:03,250][INFO] correct2 32
[2023-12-21 15:59:04,238][INFO] correct3 0
[2023-12-21 15:59:07,675][INFO] correct1 3
[2023-12-21 15:59:10,881][INFO] correct2 32
[2023-12-21 15:59:13,342][INFO] correct3 0
[2023-12-21 15:59:16,798][INFO] correct1 9
[2023-12-21 15:59:21,162][INFO] correct2 32
[2023-12-21 15:59:24,681][INFO] correct3 1
[2023-12-21 15:59:28,307][INFO] correct1 10
[2023-12-21 15:59:32,374][INFO] correct2 32
[2023-12-21 15:59:35,718][INFO] correct3 2
[2023-12-21 15:59:39,019][INFO] correct1 4
[2023-12-21 15:59:41,017][INFO] correct2 32
[2023-12-21 15:59:42,030][INFO] correct3 0
[2023-12-21 15:59:45,415][INFO] correct1 5
[2023-12-21 15:59:47,463][INFO] correct2 31
[2023-12-21 15:59:48,843][INFO] correct3 0
[2023-12-21 15:59:52,356][INFO] correct1 8
[2023-12-21 15:59:56,067][INFO] correct2 32
[2023-12-21 15:59:59,113][INFO] correct3 0
[2023-12-21 16:00:02,749][INFO] correct1 4
[2023-12-21 16:00:04,883][INFO] correct2 32
[2023-12-21 16:00:05,134][INFO] correct3 0
[2023-12-21 16:00:08,548][INFO] correct1 6
[2023-12-21 16:00:12,777][INFO] correct2 32
[2023-12-21 16:00:14,508][INFO] correct3 0
[2023-12-21 16:00:17,891][INFO] correct1 2
[2023-12-21 16:00:19,247][INFO] correct2 30
[2023-12-21 16:00:19,866][INFO] correct3 0
[2023-12-21 16:00:23,538][INFO] correct1 2
[2023-12-21 16:00:24,528][INFO] correct2 30
[2023-12-21 16:00:24,806][INFO] correct3 0
[2023-12-21 16:00:28,600][INFO] correct1 3
[2023-12-21 16:00:29,635][INFO] correct2 30
[2023-12-21 16:00:29,890][INFO] correct3 0
[2023-12-21 16:00:33,157][INFO] correct1 1
[2023-12-21 16:00:34,069][INFO] correct2 30
[2023-12-21 16:00:34,312][INFO] correct3 0
[2023-12-21 16:00:35,938][INFO] correct1 0
[2023-12-21 16:00:36,875][INFO] correct2 32
[2023-12-21 16:00:37,129][INFO] correct3 0
[2023-12-21 16:00:40,684][INFO] correct1 5
[2023-12-21 16:00:44,660][INFO] correct2 32
[2023-12-21 16:00:47,952][INFO] correct3 1
[2023-12-21 16:00:51,437][INFO] correct1 4
[2023-12-21 16:00:52,350][INFO] correct2 32
[2023-12-21 16:00:52,622][INFO] correct3 0
[2023-12-21 16:00:56,326][INFO] correct1 8
[2023-12-21 16:01:00,621][INFO] correct2 30
[2023-12-21 16:01:04,113][INFO] correct3 5
[2023-12-21 16:01:07,630][INFO] correct1 3
[2023-12-21 16:01:09,746][INFO] correct2 32
[2023-12-21 16:01:11,172][INFO] correct3 0
[2023-12-21 16:01:14,630][INFO] correct1 6
[2023-12-21 16:01:15,931][INFO] correct2 32
[2023-12-21 16:01:16,519][INFO] correct3 0
[2023-12-21 16:01:20,040][INFO] correct1 8
[2023-12-21 16:01:24,092][INFO] correct2 32
[2023-12-21 16:01:27,473][INFO] correct3 1
[2023-12-21 16:01:30,839][INFO] correct1 2
[2023-12-21 16:01:34,884][INFO] correct2 32
[2023-12-21 16:01:38,192][INFO] correct3 1
[2023-12-21 16:01:41,522][INFO] correct1 5
[2023-12-21 16:01:43,547][INFO] correct2 32
[2023-12-21 16:01:44,895][INFO] correct3 0
[2023-12-21 16:01:48,391][INFO] correct1 10
[2023-12-21 16:01:52,405][INFO] correct2 31
[2023-12-21 16:01:55,834][INFO] correct3 1
[2023-12-21 16:01:59,240][INFO] correct1 6
[2023-12-21 16:02:03,400][INFO] correct2 32
[2023-12-21 16:02:06,680][INFO] correct3 1
[2023-12-21 16:02:10,032][INFO] correct1 8
[2023-12-21 16:02:13,935][INFO] correct2 32
[2023-12-21 16:02:17,345][INFO] correct3 1
[2023-12-21 16:02:21,122][INFO] correct1 10
[2023-12-21 16:02:22,417][INFO] correct2 32
[2023-12-21 16:02:22,679][INFO] correct3 0
[2023-12-21 16:02:26,208][INFO] correct1 4
[2023-12-21 16:02:29,498][INFO] correct2 31
[2023-12-21 16:02:32,383][INFO] correct3 0
[2023-12-21 16:02:37,039][INFO] correct1 6
[2023-12-21 16:02:42,230][INFO] correct2 31
[2023-12-21 16:02:46,686][INFO] correct3 1
[2023-12-21 16:02:50,642][INFO] correct1 3
[2023-12-21 16:02:52,322][INFO] correct2 32
[2023-12-21 16:02:53,307][INFO] correct3 0
[2023-12-21 16:02:56,645][INFO] correct1 2
[2023-12-21 16:03:00,610][INFO] correct2 32
[2023-12-21 16:03:03,852][INFO] correct3 1
[2023-12-21 16:03:04,810][INFO] correct1 0
[2023-12-21 16:03:08,890][INFO] correct2 32
[2023-12-21 16:03:12,258][INFO] correct3 1
[2023-12-21 16:03:15,946][INFO] correct1 2
[2023-12-21 16:03:16,899][INFO] correct2 32
[2023-12-21 16:03:17,158][INFO] correct3 0
[2023-12-21 16:03:20,757][INFO] correct1 5
[2023-12-21 16:03:22,876][INFO] correct2 32
[2023-12-21 16:03:24,198][INFO] correct3 0
[2023-12-21 16:03:27,700][INFO] correct1 5
[2023-12-21 16:03:30,737][INFO] correct2 32
[2023-12-21 16:03:33,250][INFO] correct3 0
[2023-12-21 16:03:36,719][INFO] correct1 3
[2023-12-21 16:03:41,006][INFO] correct2 32
[2023-12-21 16:03:44,507][INFO] correct3 1
[2023-12-21 16:03:48,135][INFO] correct1 7
[2023-12-21 16:03:52,477][INFO] correct2 32
[2023-12-21 16:03:55,860][INFO] correct3 1
[2023-12-21 16:03:59,301][INFO] correct1 2
[2023-12-21 16:04:03,019][INFO] correct2 32
[2023-12-21 16:04:06,001][INFO] correct3 0
[2023-12-21 16:04:09,326][INFO] correct1 1
[2023-12-21 16:04:10,683][INFO] correct2 30
[2023-12-21 16:04:11,338][INFO] correct3 0
[2023-12-21 16:04:14,720][INFO] correct1 1
[2023-12-21 16:04:15,713][INFO] correct2 32
[2023-12-21 16:04:15,970][INFO] correct3 0
[2023-12-21 16:04:19,498][INFO] correct1 3
